ORPHA:58	Alexander disease
ORPHA:35737	Morning glory disc anomaly
ORPHA:35701	3-hydroxy-3-methylglutaryl-CoA synthase deficiency
ORPHA:46348	Paroxysmal extreme pain disorder
ORPHA:46059	Lathosterolosis
ORPHA:44890	Gastrointestinal stromal tumor
ORPHA:42775	PHACE syndrome
ORPHA:42642	PFAPA syndrome
ORPHA:39041	Omenn syndrome
ORPHA:37748	Schnitzler syndrome
ORPHA:52417	MALT lymphoma
ORPHA:52429	Branchiootic syndrome
ORPHA:52503	X-linked creatine transporter deficiency
ORPHA:53271	Muenke syndrome
ORPHA:52055	Corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome
ORPHA:52056	Ulnar/fibula ray defect-brachydactyly syndrome
ORPHA:52416	Mantle cell lymphoma
ORPHA:53719	Wyburn-Mason syndrome
ORPHA:53721	Spinal arteriovenous metameric syndrome
ORPHA:55654	Hypotrichosis simplex
ORPHA:55881	Adamantinoma
ORPHA:53296	Familial cutaneous collagenoma
ORPHA:53693	GRACILE syndrome
ORPHA:53697	Gnathodiaphyseal dysplasia
ORPHA:53715	Familial tumoral calcinosis
ORPHA:50811	Lipodystrophy-intellectual disability-deafness syndrome
ORPHA:50810	Microlissencephaly-micromelia syndrome
ORPHA:50814	Craniolenticulosutural dysplasia
ORPHA:50812	Zellweger-like syndrome without peroxisomal anomalies
ORPHA:49804	Lichen amyloidosis
ORPHA:48918	Focal myositis
ORPHA:50809	Talo-patello-scaphoid osteolysis
ORPHA:49827	Thiamine-responsive megaloblastic anemia syndrome
ORPHA:50945	Blomstrand lethal chondrodysplasia
ORPHA:50944	Schöpf-Schulz-Passarge syndrome
ORPHA:52047	Braddock syndrome
ORPHA:52022	Potocki-Shaffer syndrome
ORPHA:50817	Duane anomaly-myopathy-scoliosis syndrome
ORPHA:50815	Branchiogenic deafness syndrome
ORPHA:50943	Keratolytic winter erythema
ORPHA:50942	Striate palmoplantar keratoderma
ORPHA:841	Sebocystomatosis
ORPHA:530	Lipoid proteinosis
ORPHA:735	Porokeratosis of Mibelli
ORPHA:867	Familial multiple trichoepithelioma
ORPHA:703	Bullous pemphigoid
ORPHA:728	Relapsing polychondritis
ORPHA:722	Hypoplasminogenemia
ORPHA:873	Desmoid tumor
ORPHA:588	Muscle-eye-brain disease
ORPHA:603	Distal myopathy, Welander type
ORPHA:617	Congenital primary megaureter
ORPHA:272	Congenital muscular dystrophy, Fukuyama type
ORPHA:38	Acrokeratoelastoidosis of Costa
ORPHA:241	Dyschromatosis universalis hereditaria
ORPHA:211	Familial cylindromatosis
ORPHA:122	Birt-Hogg-Dubé syndrome
ORPHA:41	Dyschromatosis symmetrica hereditaria
ORPHA:454	Acquired ichthyosis
ORPHA:409	Hyperkeratosis lenticularis perstans
ORPHA:384	Huriez syndrome
ORPHA:316	Progressive symmetric erythrokeratodermia
ORPHA:523	Hereditary leiomyomatosis and renal cell cancer
ORPHA:314	Erythroderma desquamativum
ORPHA:493	Familial keratoacanthoma
ORPHA:33314	Jessner lymphocytic infiltration of the skin
ORPHA:33355	Reticular dysgenesis
ORPHA:33408	Bullous lichen planus
ORPHA:33574	Glutamate-cysteine ligase deficiency
ORPHA:33577	Nodular non-suppurative panniculitis
ORPHA:34217	Naxos disease
ORPHA:35093	Non-syndromic sagittal craniosynostosis
ORPHA:35099	Non-syndromic bicoronal craniosynostosis
ORPHA:35612	Nanophthalmos
ORPHA:35664	ALDH18A1-related De Barsy syndrome
ORPHA:35687	Erdheim-Chester disease
ORPHA:729	Polycythemia vera
ORPHA:724	Idiopathic acute eosinophilic pneumonia
ORPHA:26790	Pseudomyxoma peritonei
ORPHA:545	Follicular lymphoma
ORPHA:29822	Spontaneous periodic hypothermia
ORPHA:29207	Reactive arthritis
ORPHA:31112	Dermatofibrosarcoma protuberans
ORPHA:30925	Hereditary central diabetes insipidus
ORPHA:32960	Tumor necrosis factor receptor 1 associated periodic syndrome
ORPHA:33110	Autosomal agammaglobulinemia
ORPHA:33001	Lymphedema-distichiasis syndrome
ORPHA:33226	Waldenström macroglobulinemia
ORPHA:33208	Idiopathic hypersomnia
ORPHA:79278	Autosomal erythropoietic protoporphyria
ORPHA:79279	Alpha-N-acetylgalactosaminidase deficiency type 1
ORPHA:79276	Acute intermittent porphyria
ORPHA:79238	Galactose epimerase deficiency
ORPHA:79234	Crigler-Najjar syndrome type 1
ORPHA:79235	Crigler-Najjar syndrome type 2
ORPHA:79242	Holocarboxylase synthetase deficiency
ORPHA:79254	Classic phenylketonuria
ORPHA:79241	Biotinidase deficiency
ORPHA:79314	L-2-hydroxyglutaric aciduria
ORPHA:79312	Vitamin B12-unresponsive methylmalonic acidemia type mut-
ORPHA:79321	ALG3-CDG
ORPHA:79283	Methylmalonic acidemia with homocystinuria, type cblD
ORPHA:79281	Alpha-N-acetylgalactosaminidase deficiency type 3
ORPHA:79280	Alpha-N-acetylgalactosaminidase deficiency type 2
ORPHA:79301	Congenital bile acid synthesis defect type 1
ORPHA:79292	Fish-eye disease
ORPHA:77258	Trichorhinophalangeal syndrome type 1
ORPHA:77259	Gaucher disease type 1
ORPHA:77260	Gaucher disease type 2
ORPHA:77261	Gaucher disease type 3
ORPHA:77297	Majeed syndrome
ORPHA:77298	Anophthalmia/microphthalmia-esophageal atresia syndrome
ORPHA:77301	Monosomy 9q22.3
ORPHA:75374	Bradyopsia
ORPHA:75378	Oligocone trichromacy
ORPHA:75389	Brain malformation-congenital heart disease-postaxial polydactyly syndrome
ORPHA:75392	Periodontal Ehlers-Danlos syndrome
ORPHA:75496	B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome
ORPHA:75497	X-linked Ehlers-Danlos syndrome
ORPHA:75563	X-linked sideroblastic anemia
ORPHA:79133	Focal facial dermal dysplasia type I
ORPHA:79141	Hereditary painful callosities
ORPHA:79156	Seizures-intellectual disability due to hydroxylysinuria syndrome
ORPHA:79152	Disseminated superficial actinic porokeratosis
ORPHA:79230	HJV or HAMP-related hemochromatosis
ORPHA:79087	Acquired partial lipodystrophy
ORPHA:79084	Familial partial lipodystrophy, Köbberling type
ORPHA:79094	Grange syndrome
ORPHA:79107	Developmental malformations-deafness-dystonia syndrome
ORPHA:79129	Trichodysplasia-amelogenesis imperfecta syndrome
ORPHA:79113	Mandibulofacial dysostosis-microcephaly syndrome
ORPHA:69735	Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome
ORPHA:69126	PAPA syndrome
ORPHA:69077	Rhabdoid tumor
ORPHA:69078	Liposarcoma
ORPHA:69061	Idiopathic steroid-sensitive nephrotic syndrome
ORPHA:69063	Congenital membranous nephropathy due to fetomaternal anti-neutral endopeptidase alloimmunization
ORPHA:67048	3-methylglutaconic aciduria type 4
ORPHA:67046	3-methylglutaconic aciduria type 1
ORPHA:67047	3-methylglutaconic aciduria type 3
ORPHA:66661	Mast cell sarcoma
ORPHA:67041	Hyaluronidase deficiency
ORPHA:66637	Diaphanospondylodysostosis
ORPHA:75373	Progressive bifocal chorioretinal atrophy
ORPHA:75325	Osteosclerosis-ichthyosis-premature ovarian failure syndrome
ORPHA:75234	Cholesteryl ester storage disease
ORPHA:75233	Wolman disease
ORPHA:73273	Growth delay due to insulin-like growth factor I resistance
ORPHA:73246	Visceral neuropathy-brain anomalies-facial dysmorphism-developmental delay syndrome
ORPHA:71519	Psychogenic movement disorders
ORPHA:71493	Familial thrombocytosis
ORPHA:71289	Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome
ORPHA:71276	Silent sinus syndrome
ORPHA:71267	Dentinogenesis imperfecta-short stature-hearing loss-intellectual disability syndrome
ORPHA:70592	Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency
ORPHA:70567	Cholangiocarcinoma
ORPHA:63442	Angel-shaped phalango-epiphyseal dysplasia
ORPHA:63446	Acrocapitofemoral dysplasia
ORPHA:63455	Paraneoplastic pemphigus
ORPHA:63259	Iniencephaly
ORPHA:63260	Craniorachischisis
ORPHA:63275	Pemphigoid gestationis
ORPHA:59315	Rhombencephalosynapsis
ORPHA:60030	Loeys-Dietz syndrome
ORPHA:60040	Megalencephaly-capillary malformation-polymicrogyria syndrome
ORPHA:56425	Cold agglutinin disease
ORPHA:57782	Mazabraud syndrome
ORPHA:59303	Neonatal ichthyosis-sclerosing cholangitis syndrome
ORPHA:66630	Congenital pseudoarthrosis of the clavicle
ORPHA:66629	Goldberg-Shprintzen megacolon syndrome
ORPHA:66633	Sensorineural hearing loss-early graying-essential tremor syndrome
ORPHA:66631	CEDNIK syndrome
ORPHA:65682	Benign recurrent intrahepatic cholestasis
ORPHA:65288	Permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome
ORPHA:66625	Cerebrooculonasal syndrome
ORPHA:65684	Monomelic amyotrophy
ORPHA:65282	Carvajal syndrome
ORPHA:65286	3q29 microdeletion syndrome
ORPHA:65285	Lhermitte-Duclos disease
ORPHA:64741	Pulmonary blastoma
ORPHA:63862	Schisis association
ORPHA:64755	Becker nevus syndrome
ORPHA:64754	Nevus comedonicus syndrome
ORPHA:85297	X-linked spinocerebellar ataxia type 3
ORPHA:85295	HSD10 disease, atypical type
ORPHA:85294	X-linked epilepsy-learning disabilities-behavior disorders syndrome
ORPHA:85293	X-linked intellectual disability, Cabezas type
ORPHA:85321	Deafness-intellectual disability syndrome, Martin-Probst type
ORPHA:85320	X-linked intellectual disability-macrocephaly-macroorchidism syndrome
ORPHA:85317	X-linked intellectual disability-hypogammaglobulinemia-progressive neurological deterioration syndrome
ORPHA:85329	X-linked intellectual disability-hypotonia-facial dysmorphism-aggressive behavior syndrome
ORPHA:85325	X-linked intellectual disability, Stevenson type
ORPHA:85324	X-linked intellectual disability, Shrimpton type
ORPHA:85322	X-linked intellectual disability, Pai type
ORPHA:85334	X-linked neurodegenerative syndrome, Bertini type
ORPHA:85332	X-linked intellectual disability-retinitis pigmentosa syndrome
ORPHA:85338	X-linked intellectual disability-ataxia-apraxia syndrome
ORPHA:85335	Fried syndrome
ORPHA:85336	X-linked neurodegenerative syndrome, Hamel type
ORPHA:85414	Systemic-onset juvenile idiopathic arthritis
ORPHA:85435	Rheumatoid factor-positive polyarticular juvenile idiopathic arthritis
ORPHA:86788	X-linked severe congenital neutropenia
ORPHA:86814	Benign adult familial myoclonic epilepsy
ORPHA:86918	Diffuse palmoplantar keratoderma-acrocyanosis syndrome
ORPHA:86818	Alport syndrome-intellectual disability-midface hypoplasia-elliptocytosis syndrome
ORPHA:86893	Nodular lymphocyte predominant Hodgkin lymphoma
ORPHA:85168	Craniofacial conodysplasia
ORPHA:85170	Mesomelic dysplasia, Savarirayan type
ORPHA:85169	Familial digital arthropathy-brachydactyly
ORPHA:85173	IMAGe syndrome
ORPHA:85172	Microcephalic osteodysplastic dysplasia, Saul-Wilson type
ORPHA:85175	Astley-Kendall dysplasia
ORPHA:85174	Pseudodiastrophic dysplasia
ORPHA:85194	Spondylo-ocular syndrome
ORPHA:85193	Idiopathic juvenile osteoporosis
ORPHA:85198	Dysspondyloenchondromatosis
ORPHA:85197	Genochondromatosis type 1
ORPHA:85201	Genitopatellar syndrome
ORPHA:85199	Craniosynostosis-anal anomalies-porokeratosis syndrome
ORPHA:85203	Acropectoral syndrome
ORPHA:85202	Keutel syndrome
ORPHA:85212	Fetal Gaucher disease
ORPHA:85273	X-linked intellectual disability, Abidi type
ORPHA:85274	Syndromic X-linked intellectual disability 7
ORPHA:85275	Microphthalmia-ankyloblepharon-intellectual disability syndrome
ORPHA:85276	X-linked intellectual disability, Armfield type
ORPHA:85277	X-linked intellectual disability, Cantagrel type
ORPHA:85278	Christianson syndrome
ORPHA:85279	KDM5C-related syndromic X-linked intellectual disability
ORPHA:85280	X-linked intellectual disability-cubitus valgus-dysmorphism syndrome
ORPHA:85282	MEHMO syndrome
ORPHA:85283	X-linked intellectual disability, Miles-Carpenter type
ORPHA:85284	BRESEK syndrome
ORPHA:85286	X-linked intellectual disability, Shashi type
ORPHA:85287	X-linked intellectual disability, Siderius type
ORPHA:79435	Oculocutaneous albinism type 4
ORPHA:79434	Oculocutaneous albinism type 1B
ORPHA:79503	Ichthyosis hystrix of Curth-Macklin
ORPHA:79478	Griscelli syndrome type 3
ORPHA:79477	Griscelli syndrome type 2
ORPHA:79476	Griscelli syndrome type 1
ORPHA:83619	Macrostomia-preauricular tags-external ophthalmoplegia syndrome
ORPHA:83628	LUMBAR syndrome
ORPHA:83469	Desmoplastic small round cell tumor
ORPHA:83473	Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome
ORPHA:83461	Congenital primary aphakia
ORPHA:83465	Narcolepsy type 2
ORPHA:83317	Scrub typhus
ORPHA:85165	Severe achondroplasia-developmental delay-acanthosis nigricans syndrome
ORPHA:85166	Platyspondylic dysplasia, Torrance type
ORPHA:85163	Hypomyelination-congenital cataract syndrome
ORPHA:85164	Camptodactyly-tall stature-scoliosis-hearing loss syndrome
ORPHA:85112	Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome
ORPHA:85162	Facial onset sensory and motor neuronopathy
ORPHA:84085	Hinman syndrome
ORPHA:84090	Fibronectin glomerulopathy
ORPHA:79325	ALG8-CDG
ORPHA:79394	Congenital ichthyosiform erythroderma
ORPHA:79396	Autosomal dominant generalized epidermolysis bullosa simplex, severe form
ORPHA:79402	Intermediate generalized junctional epidermolysis bullosa
ORPHA:79403	Junctional epidermolysis bullosa with pyloric atresia
ORPHA:79405	Junctional epidermolysis bullosa inversa
ORPHA:79397	Epidermolysis bullosa simplex with mottled pigmentation
ORPHA:79400	Localized epidermolysis bullosa simplex
ORPHA:79401	PLEC-related intermediate epidermolysis bullosa simplex without extracutaneous involvement
ORPHA:79430	Hermansky-Pudlak syndrome
ORPHA:79431	Oculocutaneous albinism type 1A
ORPHA:79432	Oculocutaneous albinism type 2
ORPHA:79406	Late-onset junctional epidermolysis bullosa
ORPHA:94066	Severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia
ORPHA:95496	Pituitary stalk interruption syndrome
ORPHA:95429	Angioma serpiginosum
ORPHA:95626	Acquired central diabetes insipidus
ORPHA:93929	Cloacal exstrophy
ORPHA:93928	Isolated epispadias
ORPHA:93946	Hamel cerebro-palato-cardiac syndrome
ORPHA:93930	Bladder exstrophy
ORPHA:94063	12q14 microdeletion syndrome
ORPHA:93947	X-linked intellectual disability, Golabi-Ito-Hall type
ORPHA:94064	Deafness-infertility syndrome
ORPHA:93404	Syndactyly type 3
ORPHA:93405	Syndactyly type 4
ORPHA:93406	Syndactyly type 5
ORPHA:93409	Brachydactyly-syndactyly, Zhao type
ORPHA:93473	Hurler syndrome
ORPHA:93474	Scheie syndrome
ORPHA:93476	Hurler-Scheie syndrome
ORPHA:93672	Juvenile dermatomyositis
ORPHA:93387	Brachydactyly type E
ORPHA:93388	Brachydactyly type A1
ORPHA:93394	Brachydactyly type A4
ORPHA:93396	Brachydactyly type A2
ORPHA:93402	Syndactyly type 1
ORPHA:93403	Syndactyly type 2
ORPHA:93384	Brachydactyly type C
ORPHA:93383	Brachydactyly type B
ORPHA:93351	Spondyloepimetaphyseal dysplasia, Irapa type
ORPHA:93328	Autosomal dominant omodysplasia
ORPHA:93317	Spondylometaphyseal dysplasia, Sedaghatian type
ORPHA:93302	Brachyolmia, Maroteaux type
ORPHA:93298	Achondrogenesis type 1B
ORPHA:93299	Achondrogenesis type 1A
ORPHA:93304	Autosomal dominant brachyolmia
ORPHA:93267	Cloverleaf skull-multiple congenital anomalies syndrome
ORPHA:93271	Short rib-polydactyly syndrome, Verma-Naumoff type
ORPHA:93260	Pfeiffer syndrome type 3
ORPHA:93262	Crouzon syndrome-acanthosis nigricans syndrome
ORPHA:93274	Thanatophoric dysplasia type 2
ORPHA:93283	Spondyloepiphyseal dysplasia, Kimberley type
ORPHA:93256	Fragile X-associated tremor/ataxia syndrome
ORPHA:93160	Hypocalcemic vitamin D-resistant rickets
ORPHA:93259	Pfeiffer syndrome type 2
ORPHA:93258	Pfeiffer syndrome type 1
ORPHA:93111	HNF1B-related autosomal dominant tubulointerstitial kidney disease
ORPHA:91546	Lyme disease
ORPHA:91132	Ichthyosis-hypotrichosis syndrome
ORPHA:91138	Cryoglobulinemic vasculitis
ORPHA:90650	Otopalatodigital syndrome type 1
ORPHA:90652	Otopalatodigital syndrome type 2
ORPHA:90653	Stickler syndrome type 1
ORPHA:90654	Stickler syndrome type 2
ORPHA:90354	Brittle cornea syndrome
ORPHA:90340	Blau syndrome
ORPHA:90342	Xeroderma pigmentosum variant
ORPHA:90348	Autosomal dominant cutis laxa
ORPHA:90308	Klippel-Trénaunay syndrome
ORPHA:90154	Mandibuloacral dysplasia with type B lipodystrophy
ORPHA:90153	Mandibuloacral dysplasia with type A lipodystrophy
ORPHA:90045	Hereditary folate malabsorption
ORPHA:90042	Primary familial polycythemia
ORPHA:90037	Drug-induced autoimmune hemolytic anemia
ORPHA:90036	Mixed-type autoimmune hemolytic anemia
ORPHA:90035	Paroxysmal cold hemoglobinuria
ORPHA:90033	Autoimmune hemolytic anemia, warm type
ORPHA:90024	Deafness with labyrinthine aplasia, microtia, and microdontia
ORPHA:90023	Primary immunodeficiency syndrome due to LAMTOR2 deficiency
ORPHA:90000	Erythema elevatum diutinum
ORPHA:89937	Autosomal dominant hypophosphatemic rickets
ORPHA:88637	Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome
ORPHA:88639	Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency
ORPHA:88621	Ichthyosis-prematurity syndrome
ORPHA:88635	Vacuolar myopathy with sarcoplasmic reticulum protein aggregates
ORPHA:87876	Sialidosis type 2
ORPHA:86919	Keratosis palmaris et plantaris-clinodactyly syndrome
ORPHA:86923	Hereditary palmoplantar keratoderma, Gamborg-Nielsen type
ORPHA:140966	Palmoplantar keratoderma, Nagashima type
ORPHA:157801	Mesoaxial synostotic syndactyly with phalangeal reduction
ORPHA:157965	SLC39A13-related spondylodysplastic Ehlers-Danlos syndrome
ORPHA:157973	Congenital muscular dystrophy due to LMNA mutation
ORPHA:157991	Generalized eruptive histiocytosis
ORPHA:157997	Benign cephalic histiocytosis
ORPHA:158000	Juvenile xanthogranuloma
ORPHA:158003	Xanthoma disseminatum
ORPHA:158014	Rosaï-Dorfman disease
ORPHA:158022	Progressive nodular histiocytosis
ORPHA:158025	Hereditary progressive mucinous histiocytosis
ORPHA:137608	Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome
ORPHA:137817	Arachnoiditis
ORPHA:139402	Drug reaction with eosinophilia and systemic symptoms
ORPHA:137831	X-linked intellectual disability-cerebellar hypoplasia syndrome
ORPHA:139411	Carney triad
ORPHA:139406	Encephalopathy due to prosaposin deficiency
ORPHA:139450	Microtia-eye coloboma-imperforation of the nasolacrimal duct syndrome
ORPHA:139436	Multicentric reticulohistiocytosis
ORPHA:139474	17q11.2 microduplication syndrome
ORPHA:139471	Microphthalmia with brain and digit anomalies
ORPHA:140952	Syndactyly-telecanthus-anogenital and renal malformations syndrome
ORPHA:140908	Brachydactyly type B2
ORPHA:100006	ABeta amyloidosis, Dutch type
ORPHA:100008	ACys amyloidosis
ORPHA:99977	Squamous cell carcinoma of the esophagus
ORPHA:99978	Klatskin tumor
ORPHA:100026	Gamma-heavy chain disease
ORPHA:100073	Neurogenic thoracic outlet syndrome
ORPHA:100024	Mu-heavy chain disease
ORPHA:100025	Alpha-heavy chain disease
ORPHA:100976	Bathing suit ichthyosis
ORPHA:101041	Familial hypofibrinogenemia
ORPHA:101078	X-linked Charcot-Marie-Tooth disease type 4
ORPHA:101075	X-linked Charcot-Marie-Tooth disease type 1
ORPHA:99925	Invasive mole
ORPHA:99889	Cushing syndrome due to ectopic ACTH secretion
ORPHA:99966	Atypical teratoid rhabdoid tumor
ORPHA:99965	O'Sullivan-McLeod syndrome
ORPHA:99928	Placental site trophoblastic tumor
ORPHA:99927	Hydatidiform mole
ORPHA:99976	Adenocarcinoma of the esophagus
ORPHA:99971	Well-differentiated liposarcoma
ORPHA:99969	Pleomorphic liposarcoma
ORPHA:99967	Myxoid/round cell liposarcoma
ORPHA:99824	Lassa fever
ORPHA:99825	Nipah virus disease
ORPHA:99803	Haddad syndrome
ORPHA:99812	LIG4 syndrome
ORPHA:99868	Thymic carcinoma
ORPHA:99828	Dengue fever
ORPHA:99014	X-linked Charcot-Marie-Tooth disease type 5
ORPHA:99000	Adult-onset foveomacular vitelliform dystrophy
ORPHA:99015	Spastic paraplegia type 2
ORPHA:98880	Familial afibrinogenemia
ORPHA:98881	Familial dysfibrinogenemia
ORPHA:99745	Typhoid
ORPHA:99742	Amish lethal microcephaly
ORPHA:99776	Mosaic trisomy 9
ORPHA:99748	Pontiac fever
ORPHA:99736	Acetazolamide-responsive myotonia
ORPHA:99735	Myotonia permanens
ORPHA:97332	Kienbock disease
ORPHA:97297	Bohring-Opitz syndrome
ORPHA:97330	Thoracic outlet syndrome
ORPHA:97229	Riboflavin transporter deficiency
ORPHA:97286	Carney-Stratakis syndrome
ORPHA:98791	Alpha-thalassemia-intellectual disability syndrome linked to chromosome 16
ORPHA:95720	Thyroid hypoplasia
ORPHA:95719	Thyroid hemiagenesis
ORPHA:95713	Athyreosis
ORPHA:95712	Thyroid ectopia
ORPHA:96264	49,XXXXY syndrome
ORPHA:96263	48,XXXY syndrome
ORPHA:96169	Koolen-De Vries syndrome
ORPHA:96167	Recombinant 8 syndrome
ORPHA:96129	Distal deletion 19p
ORPHA:96125	Distal deletion 6p
ORPHA:96061	Mosaic trisomy 8
ORPHA:261295	20p12.3 microdeletion syndrome
ORPHA:261304	Paternal 20q13.2q13.3 microdeletion syndrome
ORPHA:261318	Trisomy 20p
ORPHA:261330	Distal 22q11.2 microdeletion syndrome
ORPHA:261337	Distal 22q11.2 microduplication syndrome
ORPHA:261344	Trisomy 1q
ORPHA:261349	2p15p16.1 microdeletion syndrome
ORPHA:261483	Xq27.3q28 duplication syndrome
ORPHA:261211	16p11.2p12.2 microdeletion syndrome
ORPHA:261236	16p13.11 microdeletion syndrome
ORPHA:261243	16p13.11 microduplication syndrome
ORPHA:261250	16q24.3 microdeletion syndrome
ORPHA:261265	17q12 microdeletion syndrome
ORPHA:261272	17q12 microduplication syndrome
ORPHA:261279	17q23.1q23.2 microdeletion syndrome
ORPHA:261290	Trisomy 17p
ORPHA:261102	Distal 7q11.23 microduplication syndrome
ORPHA:254509	Iatrogenic botulism
ORPHA:261120	14q11.2 microdeletion syndrome
ORPHA:261112	Monosomy 9p
ORPHA:261190	15q14 microdeletion syndrome
ORPHA:261144	FOXG1 syndrome due to 14q12 microdeletion
ORPHA:261204	16p11.2p12.2 microduplication syndrome
ORPHA:251066	8p11.2 deletion syndrome
ORPHA:251056	6q25 microdeletion syndrome
ORPHA:251076	8p23.1 duplication syndrome
ORPHA:251071	8p23.1 microdeletion syndrome
ORPHA:254346	19p13.12 microdeletion syndrome
ORPHA:251510	46,XY partial gonadal dysgenesis
ORPHA:254504	Inhalational botulism
ORPHA:254351	Distal 7q11.23 microdeletion syndrome
ORPHA:319600	Mendelian susceptibility to mycobacterial diseases due to partial IRF8 deficiency
ORPHA:324703	ABetaL34V amyloidosis
ORPHA:319218	Ebola hemorrhagic fever
ORPHA:324723	ABeta amyloidosis, Arctic type
ORPHA:324964	Chronic nonbacterial osteomyelitis/Chronic recurrent multifocal osteomyelitis
ORPHA:324708	ABeta amyloidosis, Iowa type
ORPHA:324713	ABeta amyloidosis, Italian type
ORPHA:289916	Vitamin B12-unresponsive methylmalonic acidemia type mut0
ORPHA:293168	Infantile-onset ascending hereditary spastic paralysis
ORPHA:319213	Lujo hemorrhagic fever
ORPHA:281127	Acral self-healing collodion baby
ORPHA:281122	Self-improving collodion baby
ORPHA:281090	Syndromic recessive X-linked ichthyosis
ORPHA:280794	Pseudoxanthomatous diffuse cutaneous mastocytosis
ORPHA:284400	Small cell carcinoma of the bladder
ORPHA:284160	8q21.11 microdeletion syndrome
ORPHA:281201	Keratosis linearis-ichthyosis congenita-sclerosing keratoderma syndrome
ORPHA:276413	10q22.3q23.3 microdeletion syndrome
ORPHA:275543	L1 syndrome
ORPHA:268249	Mycophenolate mofetil embryopathy
ORPHA:264200	14q22q23 microdeletion syndrome
ORPHA:280785	Bullous diffuse cutaneous mastocytosis
ORPHA:279882	Spasmus nutans
ORPHA:276630	Symptomatic form of Coffin-Lowry syndrome in female carriers
ORPHA:276422	10q22.3q23.3 microduplication syndrome
ORPHA:99329	48,XYYY syndrome
ORPHA:261534	49,XXXYY syndrome
ORPHA:99330	49,XYYYY syndrome
ORPHA:755	Leydig cell hypoplasia
ORPHA:91387	Familial thoracic aortic aneurysm and aortic dissection
ORPHA:91349	Non-functioning pituitary adenoma
ORPHA:261529	Ring chromosome Y syndrome
ORPHA:411590	Wolfram-like syndrome
ORPHA:247768	Müllerian aplasia and hyperandrogenism
ORPHA:168563	46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome
ORPHA:49	Penile agenesis
ORPHA:325345	46,XY ovotesticular difference of sex development
ORPHA:90796	46,XY difference of sex development due to isolated 17,20-lyase deficiency
ORPHA:1916	Diethylstilbestrol syndrome
ORPHA:325124	Testicular agenesis
ORPHA:681	Hypokalemic periodic paralysis
ORPHA:391487	Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome
ORPHA:432	Normosmic congenital hypogonadotropic hypogonadism
ORPHA:97285	Thyroid lymphoma
ORPHA:143	Parathyroid carcinoma
ORPHA:1332	Medullary thyroid carcinoma
ORPHA:142	Anaplastic thyroid carcinoma
ORPHA:300385	Pituitary carcinoma
ORPHA:1457	Aorta coarctation
ORPHA:405	Familial hypocalciuric hypercalcemia
ORPHA:227	Diphallia
ORPHA:357154	Oral submucous fibrosis
ORPHA:352723	Attenuated Chédiak-Higashi syndrome
ORPHA:284979	Neonatal Marfan syndrome
ORPHA:284180	Xp22.13p22.2 duplication syndrome
ORPHA:2560	Moebius syndrome-axonal neuropathy-hypogonadotropic hypogonadism syndrome
ORPHA:75857	6q terminal deletion syndrome
ORPHA:261476	Xp21 deletion syndrome
ORPHA:79474	Atypical Werner syndrome
ORPHA:96092	8p inverted duplication/deletion syndrome
ORPHA:199310	Tetragametic chimerism
ORPHA:250999	1q41q42 microdeletion syndrome
ORPHA:293967	Hypogonadotropic hypogonadism-severe microcephaly-sensorineural hearing loss-dysmorphism syndrome
ORPHA:1646	Partial chromosome Y deletion
ORPHA:314389	Xq12-q13.3 duplication syndrome
ORPHA:168558	46,XY difference of sex development-adrenal insufficiency due to CYP11A1 deficiency
ORPHA:289548	Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency
ORPHA:90791	Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency
ORPHA:168569	H syndrome
ORPHA:399805	Male infertility with azoospermia or oligozoospermia due to single gene mutation
ORPHA:98798	Isochromosomy Yq
ORPHA:98797	Isochromosomy Yp
ORPHA:261519	Maternal uniparental disomy of chromosome X
ORPHA:8	47,XYY syndrome
ORPHA:1772	45,X/46,XY mixed gonadal dysgenesis
ORPHA:163976	X-linked intellectual disability, Van Esch type
ORPHA:163971	X-linked intellectual disability, Cilliers type
ORPHA:91347	TSH-secreting pituitary adenoma
ORPHA:2965	Prolactinoma
ORPHA:166016	Multiple epiphyseal dysplasia, Lowry type
ORPHA:166100	Autosomal dominant otospondylomegaepiphyseal dysplasia
ORPHA:166024	Multiple epiphyseal dysplasia, Al-Gazali type
ORPHA:166272	Odontochondrodysplasia
ORPHA:166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia
